ActiveCases,Country,Deathsper1Mpop,NewCases,NewDeaths,Serious_Critical,Testsper1Mpop,TotalCases,TotalDeaths,TotalRecovered,TotalTests,TotCasesper1Mpop
1048417,World,10.5,1950.0,94.0,47932.0,,1432869,82128.0,302324.0,,184.0
365972,USA,39.0,205.0,16.0,9169.0,6291.0,400540,12857.0,21711.0,2082431.0,1210.0
84689,Spain,300.0,,,7069.0,7593.0,141942,14045.0,43208.0,355000.0,3036.0
94067,Italy,283.0,,,3792.0,12495.0,135586,17127.0,24392.0,755445.0,2243.0
79404,France,158.0,,,7131.0,3436.0,109069,10328.0,19337.0,224254.0,1671.0
69566,Germany,24.0,,,4895.0,10962.0,107663,2016.0,36081.0,918460.0,1285.0
31678,Iran,46.0,,,3987.0,2514.0,62589,3872.0,27039.0,211136.0,745.0
48948,UK,91.0,,,1559.0,3929.0,55242,6159.0,135.0,266694.0,814.0
31802,Turkey,9.0,,,1474.0,2643.0,34109,725.0,1582.0,222868.0,404.0
12728,Switzerland,95.0,,,391.0,19346.0,22253,821.0,8704.0,167429.0,2571.0
16002,Belgium,176.0,,,1260.0,6947.0,22194,2035.0,4157.0,80512.0,1915.0
17229,Netherlands,123.0,,,1424.0,5053.0,19580,2101.0,250.0,86589.0,1143.0
13488,Canada,10.0,,,426.0,9223.0,17897,381.0,4028.0,348105.0,474.0
13234,Brazil,3.0,15.0,2.0,296.0,258.0,14049,688.0,127.0,54824.0,66.0
8386,Austria,27.0,36.0,,243.0,12795.0,12675,243.0,4046.0,115235.0,1407.0
11913,Portugal,34.0,,,271.0,11892.0,12442,345.0,184.0,121256.0,1220.0
3408,S. Korea,4.0,53.0,8.0,55.0,9310.0,10384,200.0,6776.0,477304.0,203.0
8532,Israel,8.0,156.0,6.0,147.0,13557.0,9404,71.0,801.0,117339.0,1086.0
6897,Sweden,59.0,,,640.0,5416.0,7693,591.0,205.0,54700.0,762.0
6945,Russia,0.4,,,8.0,5448.0,7497,58.0,494.0,795000.0,51.0
5965,Norway,16.0,,,78.0,21009.0,6086,89.0,32.0,113896.0,1123.0
3413,Australia,2.0,22.0,1.0,89.0,12473.0,6010,50.0,2547.0,318064.0,236.0
5474,Ireland,43.0,,,165.0,8604.0,5709,210.0,25.0,42484.0,1156.0
4728,India,0.1,9.0,4.0,,102.0,5360,164.0,468.0,140293.0,4.0
4175,Chile,2.0,,,337.0,2988.0,5116,43.0,898.0,57122.0,268.0
3377,Denmark,35.0,,,127.0,10086.0,5071,203.0,1491.0,58419.0,875.0
4761,Czechia,8.0,16.0,3.0,103.0,9215.0,5033,91.0,181.0,98681.0,470.0
4528,Poland,3.0,,,50.0,2437.0,4848,129.0,191.0,92215.0,128.0
3754,Romania,11.0,,6.0,274.0,2265.0,4417,203.0,460.0,43578.0,230.0
3542,Japan,0.7,,,80.0,437.0,4257,93.0,622.0,55311.0,34.0
3547,Pakistan,0.3,37.0,1.0,25.0,191.0,4072,58.0,467.0,42159.0,18.0
3635,Ecuador,12.0,,,156.0,817.0,3995,220.0,140.0,14406.0,226.0
2579,Malaysia,2.0,,,92.0,1717.0,3963,63.0,1321.0,55566.0,122.0
3503,Philippines,2.0,,,1.0,224.0,3764,177.0,84.0,24500.0,34.0
2426,Luxembourg,70.0,,,35.0,41059.0,2970,44.0,500.0,25702.0,4745.0
1546,Peru,3.0,,,109.0,654.0,2954,107.0,1301.0,21555.0,90.0
2139,Saudi Arabia,1.0,,,41.0,,2795,41.0,615.0,,80.0
2011,Mexico,1.0,346.0,16.0,89.0,197.0,2785,141.0,633.0,25410.0,22.0
2313,Indonesia,0.8,,,,52.0,2738,221.0,204.0,14354.0,10.0
2153,Finland,6.0,179.0,,81.0,6299.0,2487,34.0,300.0,34900.0,449.0
2268,Serbia,7.0,,,109.0,1102.0,2447,61.0,118.0,9626.0,280.0
1451,Thailand,0.4,111.0,3.0,61.0,1030.0,2369,30.0,888.0,71860.0,34.0
2161,UAE,1.0,,,1.0,22244.0,2359,12.0,186.0,220000.0,239.0
2174,Panama,14.0,149.0,4.0,91.0,2386.0,2249,59.0,16.0,10297.0,521.0
1901,Qatar,2.0,,,37.0,14515.0,2057,6.0,150.0,41818.0,714.0
1822,Dominican Republic,9.0,,,147.0,419.0,1956,98.0,36.0,4542.0,180.0
1482,Greece,8.0,,,90.0,2742.0,1832,81.0,269.0,28584.0,176.0
1630,Colombia,1.0,,,76.0,598.0,1780,50.0,100.0,30445.0,35.0
1641,South Africa,0.2,,,7.0,980.0,1749,13.0,95.0,58098.0,29.0
1317,Argentina,1.0,,,96.0,261.0,1715,60.0,338.0,11778.0,38.0
1581,Ukraine,1.0,206.0,7.0,16.0,165.0,1668,52.0,35.0,7205.0,38.0
1021,Iceland,18.0,,,11.0,84957.0,1586,6.0,559.0,28991.0,4648.0
1098,Singapore,1.0,,,29.0,11110.0,1481,6.0,377.0,65000.0,253.0
1162,Algeria,4.0,,,46.0,77.0,1468,193.0,113.0,3359.0,33.0
1080,Egypt,0.9,,,,244.0,1450,94.0,276.0,25000.0,14.0
1097,Croatia,4.0,,,35.0,3002.0,1282,18.0,167.0,12322.0,312.0
927,New Zealand,0.2,50.0,,4.0,9721.0,1210,1.0,282.0,46875.0,251.0
1001,Morocco,2.0,,,1.0,147.0,1184,90.0,93.0,5437.0,32.0
1059,Estonia,16.0,,,12.0,17750.0,1149,21.0,69.0,23546.0,866.0
684,Iraq,2.0,,,,655.0,1122,65.0,373.0,26331.0,28.0
921,Slovenia,17.0,,,30.0,14168.0,1059,36.0,102.0,29455.0,509.0
994,Moldova,5.0,,,80.0,1266.0,1056,22.0,40.0,5108.0,262.0
696,Hong Kong,0.5,,,12.0,12900.0,936,4.0,236.0,96709.0,125.0
889,Lithuania,6.0,32.0,,11.0,11060.0,912,15.0,8.0,30108.0,335.0
743,Hungary,6.0,78.0,11.0,17.0,2665.0,895,58.0,94.0,25748.0,93.0
794,Belarus,1.0,,,31.0,4551.0,861,13.0,54.0,43000.0,91.0
758,Armenia,3.0,,,30.0,1735.0,853,8.0,87.0,5140.0,288.0
348,Bahrain,3.0,,,4.0,28023.0,811,5.0,458.0,47684.0,477.0
663,Bosnia and Herzegovina,10.0,,,4.0,2106.0,764,33.0,68.0,6911.0,233.0
637,Kuwait,0.2,,,23.0,,743,1.0,105.0,,174.0
665,Azerbaijan,0.8,,,23.0,5257.0,717,8.0,44.0,53300.0,71.0
82,Diamond Princess,,,,10.0,,712,11.0,619.0,,
647,Kazakhstan,0.3,7.0,,21.0,3024.0,704,6.0,51.0,56775.0,37.0
616,Cameroon,0.3,,,,,685,9.0,60.0,,26.0
575,Tunisia,2.0,,,67.0,700.0,623,23.0,25.0,8274.0,53.0
543,North Macedonia,12.0,,,15.0,2822.0,599,26.0,30.0,5879.0,288.0
516,Bulgaria,3.0,4.0,,21.0,2288.0,581,23.0,42.0,15899.0,84.0
566,Slovakia,0.4,,,3.0,3231.0,581,2.0,13.0,17639.0,106.0
467,Lebanon,3.0,,,29.0,1497.0,548,19.0,62.0,10221.0,80.0
530,Latvia,1.0,,,5.0,11969.0,548,2.0,16.0,22575.0,291.0
484,Andorra,285.0,,,17.0,21653.0,545,22.0,39.0,1673.0,7054.0
502,Uzbekistan,0.06,14.0,,8.0,,534,2.0,30.0,,16.0
438,Cyprus,7.0,,,13.0,10781.0,494,9.0,47.0,13017.0,409.0
457,Costa Rica,0.4,,,14.0,1085.0,483,2.0,24.0,5525.0,95.0
267,Uruguay,2.0,,,14.0,1649.0,424,7.0,150.0,5727.0,122.0
391,Afghanistan,0.4,,,,,423,14.0,18.0,,11.0
345,Oman,0.4,48.0,,3.0,,419,2.0,72.0,,82.0
358,Cuba,1.0,,,15.0,623.0,396,11.0,27.0,7054.0,35.0
238,Burkina Faso,0.9,,,,,384,19.0,127.0,,18.0
230,Albania,8.0,,,7.0,957.0,383,22.0,131.0,2753.0,133.0
307,Taiwan,0.2,3.0,,,1709.0,379,5.0,67.0,40702.0,16.0
318,Réunion,,,,4.0,,358,,40.0,,400.0
209,Jordan,0.6,,,5.0,1666.0,353,6.0,138.0,17000.0,35.0
305,Ivory Coast,0.1,,,,,349,3.0,41.0,,13.0
294,Channel Islands,40.0,,,,6655.0,335,7.0,34.0,1157.0,1927.0
284,Honduras,2.0,7.0,,10.0,,312,22.0,6.0,,32.0
288,Malta,,,,4.0,24738.0,293,,5.0,10923.0,664.0
251,Ghana,0.2,,,2.0,,287,5.0,31.0,,9.0
205,San Marino,1002.0,,,14.0,17270.0,279,34.0,40.0,586.0,8223.0
241,Niger,0.5,,,,173.0,278,11.0,26.0,4199.0,11.0
233,Kyrgyzstan,0.6,42.0,,5.0,1474.0,270,4.0,33.0,9618.0,41.0
253,Mauritius,6.0,,,3.0,3863.0,268,7.0,8.0,4913.0,211.0
218,Palestine,0.2,,,,2968.0,261,1.0,42.0,15140.0,51.0
204,Nigeria,0.03,,,2.0,24.0,254,6.0,44.0,5000.0,1.0
125,Vietnam,,,,8.0,1093.0,251,,126.0,106399.0,3.0
242,Montenegro,3.0,7.0,,7.0,3207.0,248,2.0,4.0,2014.0,395.0
130,Senegal,0.1,,,1.0,,237,2.0,105.0,,14.0
193,Bolivia,1.0,16.0,1.0,3.0,51.0,210,15.0,2.0,591.0,18.0
159,Georgia,0.8,12.0,,6.0,692.0,208,3.0,46.0,2762.0,52.0
137,Sri Lanka,0.3,,,5.0,152.0,185,6.0,42.0,3248.0,9.0
53,Faeroe Islands,,,,1.0,105458.0,184,,131.0,5153.0,3766.0
